node	Index
root	BOTH
root	CAN
'820'	BOTH
'820'	CAN
Rhodamnia_argentea	CAN
Sphaeroforma_arctica_jp610	CAN
'834'	BOTH
'834'	CAN
'821'	BOTH
'821'	CAN
'835'	BOTH
'835'	CAN
'14'	BOTH
'14'	CAN
'822'	BOTH
'822'	CAN
Monosiga_ovata	CAN
Monosiga_brevicollis	CAN
Amphimedon_queenslandica	CAN
Ephydatia_fluviatilis	CAN
'814'	BOTH
'814'	CAN
'826'	BOTH
'826'	CAN
'701'	BOTH
'701'	CAN
'815'	BOTH
'815'	CAN
'827'	BOTH
'827'	CAN
Paramuricea_clavata	CAN
'37'	BOTH
'37'	CAN
'693'	BOTH
'693'	CAN
'759'	BOTH
'759'	CAN
'804'	BOTH
'804'	CAN
'823'	BOTH
'823'	CAN
'828'	BOTH
'828'	CAN
'25'	BOTH
'25'	CAN
Patiria_miniata	CAN
Branchiostoma_belcheri	CAN
'697'	BOTH
'697'	CAN
'760'	BOTH
'760'	CAN
Hypsibius_exemplaris	CAN
Didymodactylos_carnosus	CAN
'784'	BOTH
'784'	CAN
Stylophora_pistillata	CAN
Actinia_tenebrosa	CAN
Clytia_hemisphaerica	CAN
Hydra_vulgaris	CAN
'13'	CAN
Stichopus_japonicus	CAN
'694'	BOTH
'694'	CAN
Ciona_savignyi	CAN
'684'	BOTH
'684'	CAN
'680'	BOTH
'680'	CAN
Lingula_unguis	CAN
'796'	BOTH
'796'	CAN
Strongylocentrotus_purpuratus	CAN
Heliocidaris_crassispina	CAN
'631'	BOTH
'631'	CAN
'681'	BOTH
'681'	CAN
'748'	BOTH
'748'	CAN
'752'	BOTH
'752'	CAN
Trichinella_spiralis	CAN
Trichuris_suis	CAN
'780'	BOTH
'780'	CAN
'797'	BOTH
'797'	CAN
'36'	BOTH
'36'	CAN
'647'	BOTH
'647'	CAN
Eptatretus_burgeri	BOTH
'630'	BOTH
'630'	CAN
'691'	BOTH
'691'	CAN
'686'	BOTH
'686'	CAN
