node	Index
root	ALT
root	CAN
'826'	ALT
'826'	CAN
'1015'	ALT
'1015'	CAN
'56'	ALT
'56'	CAN
'827'	ALT
'827'	BOTH
'827'	CAN
'1003'	ALT
'1003'	CAN
Dictyostelium_purpureum	ALT
'60'	ALT
'60'	CAN
Caulochytrium_protostelioides	ALT
'48'	ALT
'48'	BOTH
'48'	CAN
'828'	ALT
'828'	BOTH
'828'	CAN
'983'	ALT
'983'	CAN
'1011'	ALT
'1011'	CAN
'57'	ALT
'57'	CAN
Smittium_culicis	CAN
Amphimedon_queenslandica	BOTH
Ephydatia_muelleri	ALT
'823'	ALT
'823'	BOTH
'823'	CAN
Trichoplax_adhaerens	BOTH
'951'	ALT
'951'	CAN
'985'	ALT
'985'	CAN
Streblomastix_strix	ALT
'1004'	ALT
'1004'	CAN
'49'	ALT
'49'	CAN
Choanephora_cucurbitarum	ALT
'797'	ALT
'797'	BOTH
'797'	CAN
'814'	ALT
'814'	CAN
'955'	ALT
'955'	CAN
'952'	ALT
'952'	CAN
'970'	ALT
'970'	CAN
'987'	ALT
'987'	CAN
Naegleria_gruberi	CAN
'1006'	ALT
'1006'	CAN
'25'	ALT
'25'	CAN
'50'	ALT
'50'	CAN
'560'	ALT
'560'	BOTH
'560'	CAN
'785'	ALT
'785'	CAN
'815'	ALT
'815'	CAN
Paramuricea_clavata	CAN
Bathycoccus_prasinos	CAN
'956'	ALT
'953'	ALT
'953'	CAN
Rhodosorus_marinus	ALT
'966'	ALT
'966'	CAN
'950'	ALT
'989'	ALT
'995'	ALT
'995'	CAN
Eutreptiella_gymnastica	ALT
'1007'	ALT
'13'	ALT
'13'	CAN
Puccinia_striiformis	ALT
'35'	ALT
'35'	CAN
'51'	ALT
'51'	CAN
'72'	ALT
'72'	BOTH
'72'	CAN
'551'	BOTH
'551'	CAN
'743'	CAN
'786'	ALT
'786'	CAN
'784'	ALT
'784'	CAN
'804'	ALT
'804'	CAN
'957'	ALT
Ceratopteris_richardii	ALT
'954'	ALT
'954'	CAN
Neoporphyra_haitanensis	ALT
Phaeocystis_antarctica	CAN
Haptolina_ericina	CAN
Coccolithus_braarudii	ALT
Calcidiscus_leptoporus	ALT
'949'	ALT
'990'	ALT
'988'	ALT
'988'	CAN
'996'	ALT
'996'	CAN
Leishmania_braziliensis	ALT
Trypanosoma_theileri	ALT
'14'	ALT
Ceraceosorus_guamensis	ALT
'36'	ALT
