Species	Group
equus_asinus	can/alt
paramormyrops_kingsleyae	can/alt
gasterosteus_aculeatus	can/alt
callorhinchus_milii	can/alt
cyprinodon_variegatus	can/alt
dipodomys_ordii	can/alt
amphiprion_ocellaris	can
eptatretus_burgeri	can
mesocricetus_auratus	can/alt
salmo_salar	alt
gadus_morhua	can/alt
cyclopterus_lumpus	can
hucho_hucho	can/alt
dicentrarchus_labrax	can/alt
scleropages_formosus	can/alt
lepisosteus_oculatus	can
oreochromis_niloticus	can/alt
petromyzon_marinus	undecided
scophthalmus_maximus	can/alt
clupea_harengus	can/alt
anabas_testudineus	can/alt
myripristis_murdjan	can/alt
sander_lucioperca	can/alt
oncorhynchus_mykiss	can/alt
danio_rerio	can/alt
vulpes_vulpes	can
oryctolagus_cuniculus	can/alt
anolis_carolinensis	can
phascolarctos_cinereus	can/alt
oncorhynchus_mykiss	can/alt
electrophorus_electricus	can/alt
salmo_trutta	can/alt
dicentrarchus_labrax	can/alt
mastacembelus_armatus	can/alt
podarcis_muralis	can/alt
poecilia_latipinna	can
larimichthys_crocea	can/alt
latimeria_chalumnae	can/alt
gallus_gallus	can/alt
pseudonaja_textilis	can
paramormyrops_kingsleyae	can/alt
caenorhabditis_elegans	can
salmo_salar	can/alt
gadus_morhua	can/alt
parus_major	can/alt
cynoglossus_semilaevis	can
balaenoptera_musculus	can/alt
sciurus_vulgaris	can/alt
oreochromis_niloticus	can/alt
carassius_auratus	can/alt
poecilia_formosa	can
physeter_catodon	can/alt
pundamilia_nyererei	can
stegastes_partitus	can
larimichthys_crocea	can/alt
ursus_americanus	can/alt
ficedula_albicollis	can/alt
hippocampus_comes	can
lates_calcarifer	can/alt
seriola_dumerili	can
ictalurus_punctatus	can
scophthalmus_maximus	can/alt
felis_catus	can
pan_paniscus	can/alt
acanthochromis_polyacanthus	alt
labrus_bergylta	can
dasypus_novemcinctus	can
xiphophorus_maculatus	can/alt
monodon_monoceros	can/alt
moschus_moschiferus	can/alt
vombatus_ursinus	can
macaca_nemestrina	can/alt
astatotilapia_calliptera	can/alt
salvator_merianae	can
neolamprologus_brichardi	can/alt
astatotilapia_calliptera	can
oncorhynchus_tshawytscha	can/alt
delphinapterus_leucas	can
macaca_fascicularis	can/alt
vicugna_pacos	alt
kryptolebias_marmoratus	can/alt
rhinopithecus_roxellana	can/alt
nannospalax_galili	can/alt
poecilia_formosa	alt
microcebus_murinus	can/alt
rhinopithecus_bieti	can/alt
pelodiscus_sinensis	can
oryzias_melastigma	can/alt
carlito_syrichta	can/alt
betta_splendens	can/alt
amphilophus_citrinellus	can
salmo_salar	can/alt
oncorhynchus_kisutch	can/alt
rhinolophus_ferrumequinum	can/alt
pygocentrus_nattereri	can/alt
panthera_pardus	can/alt
oncorhynchus_tshawytscha	can/alt
electrophorus_electricus	can/alt
haplochromis_burtoni	can/alt
sparus_aurata	can/alt
neolamprologus_brichardi	can
salmo_trutta	can/alt
eptatretus_burgeri	alt
gopherus_evgoodei	can
amphiprion_percula	can
capra_hircus	can/alt
chlorocebus_sabaeus	can
hucho_hucho	can/alt
mus_spicilegus	can/alt
oryzias_melastigma	can/alt
nothobranchius_furzeri	can/alt
aotus_nancymaae	can/alt
astyanax_mexicanus	can/alt
maylandia_zebra	can
ursus_maritimus	can
papio_anubis	can/alt
pan_troglodytes	can/alt
microtus_ochrogaster	can/alt
salmo_trutta	can/alt
scleropages_formosus	can/alt
oncorhynchus_kisutch	can/alt
haplochromis_burtoni	can/alt
coturnix_japonica	can
naja_naja	can
seriola_dumerili	alt
astyanax_mexicanus	can/alt
chelonoidis_abingdonii	can/alt
fundulus_heteroclitus	can
carassius_auratus	can/alt
labrus_bergylta	can
ictalurus_punctatus	can
crocodylus_porosus	can
sarcophilus_harrisii	can/alt
amphiprion_percula	can/alt
bos_grunniens	can/alt
cercocebus_atys	can/alt
oncorhynchus_kisutch	can/alt
oncorhynchus_mykiss	can/alt
myripristis_murdjan	can/alt
sinocyclocheilus_grahami	can/alt
tetraodon_nigroviridis	alt
myotis_lucifugus	alt
pygocentrus_nattereri	can/alt
cyprinodon_variegatus	can/alt
sinocyclocheilus_grahami	can/alt
octodon_degus	can/alt
oncorhynchus_tshawytscha	can/alt
amphiprion_ocellaris	can
equus_caballus	can/alt
nothobranchius_furzeri	can/alt
nomascus_leucogenys	can/alt
sinocyclocheilus_grahami	can/alt
betta_splendens	can/alt
camelus_dromedarius	can/alt
carassius_auratus	can/alt
mandrillus_leucophaeus	can/alt
neovison_vison	can/alt
erpetoichthys_calabaricus	can/alt
oryzias_latipes	can/alt
anabas_testudineus	can/alt
oncorhynchus_mykiss	can/alt
loxodonta_africana	alt
esox_lucius	can/alt
cavia_porcellus	can/alt
lates_calcarifer	can/alt
oryzias_latipes	can/alt
fundulus_heteroclitus	can/alt
poecilia_latipinna	can/alt
pundamilia_nyererei	can/alt
oryzias_javanicus	can/alt
cynoglossus_semilaevis	can/alt
xiphophorus_maculatus	can/alt
caenorhabditis_elegans	undecided
acanthochromis_polyacanthus	can/alt
tetraodon_nigroviridis	alt
poecilia_reticulata	can/alt
salmo_salar	can/alt
chinchilla_lanigera	can/alt
sander_lucioperca	can/alt
cottoperca_gobio	can/alt
hippocampus_comes	can/alt
propithecus_coquereli	can/alt
oncorhynchus_kisutch	can/alt
clupea_harengus	alt
callithrix_jacchus	can/alt
strigops_habroptila	alt
meleagris_gallopavo	can/alt
maylandia_zebra	alt
ailuropoda_melanoleuca	can/alt
denticeps_clupeoides	can/alt
catagonus_wagneri	can/alt
hucho_hucho	can/alt
serinus_canaria	can
caenorhabditis_elegans	undecided
hucho_hucho	can/alt
geospiza_fortis	can/alt
cyclopterus_lumpus	can/alt
leptobrachium_leishanense	can/alt
gasterosteus_aculeatus	can/alt
taeniopygia_guttata	can/alt
panthera_leo	can/alt
anser_brachyrhynchus	can/alt
stegastes_partitus	can
takifugu_rubripes	can/alt
ictidomys_tridecemlineatus	can/alt
oncorhynchus_tshawytscha	can/alt
oryzias_sinensis	can/alt
oryzias_javanicus	can/alt
sparus_aurata	alt
prolemur_simus	can/alt
danio_rerio	can
salmo_trutta	can/alt
cottoperca_gobio	can/alt
bos_mutus	can/alt
jaculus_jaculus	alt
mastacembelus_armatus	can/alt
phocoena_sinus	can/alt
otolemur_garnettii	alt
caenorhabditis_elegans	can
carassius_auratus	can/alt
pongo_abelii	can/alt
sphenodon_punctatus	can
tupaia_belangeri	alt
esox_lucius	can/alt
notechis_scutatus	alt
takifugu_rubripes	can/alt
