Species,Group
electrophorus_electricus,can/alt
naja_naja,can
poecilia_formosa,can
clupea_harengus,can/alt
tetraodon_nigroviridis,alt
oryzias_latipes,can/alt
pongo_abelii,can/alt
anabas_testudineus,can/alt
gasterosteus_aculeatus,can/alt
oncorhynchus_kisutch,can/alt
vombatus_ursinus,can
scleropages_formosus,can/alt
podarcis_muralis,can/alt
electrophorus_electricus,can/alt
equus_asinus,can/alt
ictalurus_punctatus,can
oncorhynchus_mykiss,can/alt
seriola_dumerili,alt
larimichthys_crocea,can/alt
gadus_morhua,can/alt
neovison_vison,can/alt
panthera_pardus,can/alt
xiphophorus_maculatus,can/alt
coturnix_japonica,can
pan_troglodytes,can/alt
latimeria_chalumnae,can/alt
chlorocebus_sabaeus,can
oryzias_javanicus,can/alt
carassius_auratus,can/alt
amphiprion_percula,can/alt
chinchilla_lanigera,can/alt
oncorhynchus_kisutch,can/alt
hippocampus_comes,can
salmo_salar,can/alt
tupaia_belangeri,alt
sparus_aurata,can/alt
dicentrarchus_labrax,can/alt
gasterosteus_aculeatus,can/alt
salmo_trutta,can/alt
carassius_auratus,can/alt
oreochromis_niloticus,can/alt
dipodomys_ordii,can/alt
stegastes_partitus,can
anabas_testudineus,can/alt
seriola_dumerili,can
mandrillus_leucophaeus,can/alt
esox_lucius,can/alt
haplochromis_burtoni,can/alt
lates_calcarifer,can/alt
dasypus_novemcinctus,can
pundamilia_nyererei,can/alt
ailuropoda_melanoleuca,can/alt
microtus_ochrogaster,can/alt
carlito_syrichta,can/alt
loxodonta_africana,alt
nannospalax_galili,can/alt
octodon_degus,can/alt
maylandia_zebra,can
phocoena_sinus,can/alt
oryzias_latipes,can/alt
petromyzon_marinus,undecided
poecilia_latipinna,can/alt
hucho_hucho,can/alt
sciurus_vulgaris,can/alt
catagonus_wagneri,can/alt
myripristis_murdjan,can/alt
ficedula_albicollis,can/alt
pygocentrus_nattereri,can/alt
xiphophorus_maculatus,can/alt
lepisosteus_oculatus,can
erpetoichthys_calabaricus,can/alt
oncorhynchus_tshawytscha,can/alt
oreochromis_niloticus,can/alt
moschus_moschiferus,can/alt
capra_hircus,can/alt
ursus_americanus,can/alt
cyclopterus_lumpus,can/alt
cavia_porcellus,can/alt
balaenoptera_musculus,can/alt
pelodiscus_sinensis,can
parus_major,can/alt
sinocyclocheilus_grahami,can/alt
notechis_scutatus,alt
denticeps_clupeoides,can/alt
myripristis_murdjan,can/alt
otolemur_garnettii,alt
cynoglossus_semilaevis,can/alt
hucho_hucho,can/alt
betta_splendens,can/alt
ictalurus_punctatus,can
serinus_canaria,can
oncorhynchus_mykiss,can/alt
eptatretus_burgeri,can
oryzias_melastigma,can/alt
danio_rerio,can
ursus_maritimus,can
cyclopterus_lumpus,can
maylandia_zebra,alt
oncorhynchus_kisutch,can/alt
anolis_carolinensis,can
pseudonaja_textilis,can
oncorhynchus_kisutch,can/alt
amphiprion_ocellaris,can
mastacembelus_armatus,can/alt
monodon_monoceros,can/alt
sphenodon_punctatus,can
crocodylus_porosus,can
equus_caballus,can/alt
sparus_aurata,alt
chelonoidis_abingdonii,can/alt
astatotilapia_calliptera,can/alt
meleagris_gallopavo,can/alt
strigops_habroptila,alt
cyprinodon_variegatus,can/alt
aotus_nancymaae,can/alt
callithrix_jacchus,can/alt
prolemur_simus,can/alt
astatotilapia_calliptera,can
delphinapterus_leucas,can
rhinopithecus_roxellana,can/alt
rhinolophus_ferrumequinum,can/alt
oryctolagus_cuniculus,can/alt
gallus_gallus,can/alt
clupea_harengus,alt
lates_calcarifer,can/alt
salmo_trutta,can/alt
poecilia_reticulata,can/alt
propithecus_coquereli,can/alt
astyanax_mexicanus,can/alt
oryzias_melastigma,can/alt
caenorhabditis_elegans,can
scleropages_formosus,can/alt
leptobrachium_leishanense,can/alt
fundulus_heteroclitus,can
physeter_catodon,can/alt
cyprinodon_variegatus,can/alt
poecilia_formosa,alt
gopherus_evgoodei,can
mus_spicilegus,can/alt
labrus_bergylta,can
scophthalmus_maximus,can/alt
hucho_hucho,can/alt
larimichthys_crocea,can/alt
scophthalmus_maximus,can/alt
bos_grunniens,can/alt
amphilophus_citrinellus,can
pan_paniscus,can/alt
oncorhynchus_mykiss,can/alt
oryzias_sinensis,can/alt
camelus_dromedarius,can/alt
stegastes_partitus,can
oryzias_javanicus,can/alt
pygocentrus_nattereri,can/alt
cynoglossus_semilaevis,can
cottoperca_gobio,can/alt
oncorhynchus_tshawytscha,can/alt
danio_rerio,can/alt
carassius_auratus,can/alt
jaculus_jaculus,alt
sander_lucioperca,can/alt
paramormyrops_kingsleyae,can/alt
amphiprion_percula,can
taeniopygia_guttata,can/alt
papio_anubis,can/alt
