Species	Group
Clupea_harengus	can/alt
Rhinopithecus_roxellana	can/alt
Oncorhynchus_kisutch	can/alt
Oncorhynchus_tshawytscha	can/alt
Cynoglossus_semilaevis	can
Papio_anubis	can/alt
Danio_rerio	can
Kryptolebias_marmoratus	can/alt
Salmo_trutta	can/alt
Poecilia_formosa	alt
Oncorhynchus_tshawytscha	can/alt
Callorhinchus_milii	can/alt
Cercocebus_atys	can/alt
Loxodonta_africana	alt
Pygocentrus_nattereri	can/alt
Carassius_auratus	can/alt
Panthera_leo	can/alt
Propithecus_coquereli	can/alt
Strigops_habroptila	alt
Salmo_salar	can/alt
Anolis_carolinensis	can
Gadus_morhua	can/alt
Lates_calcarifer	can/alt
Octodon_degus	can/alt
Vulpes_vulpes	can
Mastacembelus_armatus	can/alt
Podarcis_muralis	can/alt
Eptatretus_burgeri	alt
Mastacembelus_armatus	can/alt
Oryctolagus_cuniculus	can/alt
Phascolarctos_cinereus	can/alt
Physeter_catodon	can/alt
Amphiprion_percula	can
Oncorhynchus_tshawytscha	can/alt
Scleropages_formosus	can/alt
Caenorhabditis_elegans	can
Capra_hircus	can/alt
Microtus_ochrogaster	can/alt
Xiphophorus_maculatus	can/alt
Cottoperca_gobio	can/alt
Acanthochromis_polyacanthus	can/alt
Cyprinodon_variegatus	can/alt
Meleagris_gallopavo	can/alt
Neolamprologus_brichardi	can
Pundamilia_nyererei	can/alt
Oncorhynchus_mykiss	can/alt
Oryzias_javanicus	can/alt
Equus_caballus	can/alt
Nothobranchius_furzeri	can/alt
Rhinolophus_ferrumequinum	can/alt
Astyanax_mexicanus	can/alt
Amphiprion_percula	can/alt
Felis_catus	can
Salmo_trutta	can/alt
Electrophorus_electricus	can/alt
Carlito_syrichta	can/alt
Tupaia_belangeri	alt
Seriola_dumerili	can
Sparus_aurata	alt
Oncorhynchus_mykiss	can/alt
Takifugu_rubripes	can/alt
Maylandia_zebra	alt
Eptatretus_burgeri	can
Poecilia_latipinna	can
Oryzias_latipes	can/alt
Cavia_porcellus	can/alt
Poecilia_reticulata	can/alt
Salmo_salar	alt
Coturnix_japonica	can
Chlorocebus_sabaeus	can
Caenorhabditis_elegans	undecided
Lates_calcarifer	can/alt
Leptobrachium_leishanense	can/alt
Xiphophorus_maculatus	can/alt
Geospiza_fortis	can/alt
Betta_splendens	can/alt
Pan_troglodytes	can/alt
Labrus_bergylta	can
Larimichthys_crocea	can/alt
Macaca_nemestrina	can/alt
Astyanax_mexicanus	can/alt
Callithrix_jacchus	can/alt
Larimichthys_crocea	can/alt
Nothobranchius_furzeri	can/alt
Oncorhynchus_tshawytscha	can/alt
Cyclopterus_lumpus	can/alt
Oryzias_melastigma	can/alt
Oncorhynchus_mykiss	can/alt
Seriola_dumerili	alt
Hucho_hucho	can/alt
Oreochromis_niloticus	can/alt
Cottoperca_gobio	can/alt
Mus_spicilegus	can/alt
